,from,to,F,p,GC Magnitude,mediated by,,,
0,4,1,49.32737154,8.29E-61,0.004507261,,,,
1,3,2,3.824946327,0.000814645,0.00035023,,,,
2,5,2,12.77699597,1.78E-14,0.001169442,,,,
3,2,3,32.88562221,8.16E-40,0.003007162,,,Key,
4,4,3,9.866047262,6.63E-11,0.000903131,,,1,Self_Disclosure_Tutor  
5,5,3,11.70147575,3.77E-13,0.001071055,,,2, Gaze_Partner_Tutor
6,6,3,95.30420689,9.45E-120,0.008690155,,,3,Smile_Tutor
7,1,4,83.43270225,1.60E-104,0.007611781,,,4, Self_Disclosure_Tutee
8,2,5,7.183661556,1.12E-07,0.000657668,,,5, Gaze_Partner_Tutee
9,4,5,5.262723502,1.97E-05,0.000481848,,,6,Smile_Tutee
10,2,6,25.83361637,7.38E-31,0.002363066,,,,
11,3,6,110.703161,1.69E-139,0.010087224,,,,
12,5,6,23.80851476,2.70E-28,0.002178026,,,,
13,4,1,,,,2,,,
14,3,2,,,,1,,,
15,5,2,,,,1,,,
16,4,3,,,,1,,,
17,5,3,,,,1,,,
18,1,4,,,,2,,,
19,4,5,,,,1,,,
20,3,6,,,,1,,,
21,5,6,,,,1,,,
