,from,to,F,p,GC Magnitude,mediated by,,,,
0,4,1,15.79295013,7.07E-05,0.000240971,,,,,
1,3,2,6.736559517,3.79E-07,0.000616748,,,,,
2,2,3,52.67826174,4.26E-65,0.004812711,,,,Key,
3,1,4,70.39841768,4.94E-17,0.0010737,,,,1,Shared experience tutor
4,5,6,11.82150364,1.34E-09,0.000721421,,,,2,Praise tutor
5,4,1,,,,2,,,3,deep question tutor
6,3,2,,,,1,,,4,shared experience tutee
7,5,6,,,,1,,,5,praise tutee
,,,,,,,,,6,deep question tutee
